Single,Rank,Name,Team,Votes
4,41,小林香菜,B,7195
4,42,前田亜美,A,7168
4,43,福本愛菜,N,6912
4,44,仲川遥香,A,6890
4,45,田野優花,4,6694
4,46,山田菜々,N,6683
4,47,宮脇咲良,H,6635
4,48,片山陽加,A,6602
4,49,武藤十夢,kenkyuusei,6428
4,50,石田晴香,B,6333
4,51,菊地あやか,K,6185
4,52,多田愛佳,A,6140
4,53,松井咲子,K,6058
4,54,山内鈴蘭,4,6027
4,55,仁藤萌乃,K,6025
4,56,木本花音,E,5982
4,57,大場美奈,4,5969
4,58,市川美織,4,5963
4,59,大家志津香,A,5933
4,60,小笠原茉由,N,5919
4,61,佐藤すみれ,B,5706
4,62,矢方美紀,KII,5606
4,63,中西優香,S,5592
4,64,小森美果,B,5398
